jogo_id,data,hora,fase,grupo,time_a,time_b,gol_a,gol_b,encerrado,proximo_jogo,lado
1,2026-06-11,16:00,grupos,A,México,África do Sul,,,NAO,,
2,2026-06-11,23:00,grupos,A,Coreia do Sul,Tchéquia,,,NAO,,
3,2026-06-12,16:00,grupos,B,Canadá,Bósnia e Herzegovina,,,NAO,,
4,2026-06-12,22:00,grupos,D,Estados Unidos,Paraguai,,,NAO,,
5,2026-06-13,22:00,grupos,C,Haiti,Escócia,,,NAO,,
6,2026-06-13,01:00,grupos,D,Austrália,Turquia,,,NAO,,
7,2026-06-13,19:00,grupos,C,Brasil,Marrocos,,,NAO,,
8,2026-06-13,16:00,grupos,B,Catar,Suíça,,,NAO,,
9,2026-06-14,20:00,grupos,E,Costa do Marfim,Equador,,,NAO,,
10,2026-06-14,14:00,grupos,E,Alemanha,Curaçao,,,NAO,,
11,2026-06-14,17:00,grupos,F,Holanda,Japão,,,NAO,,
12,2026-06-14,23:00,grupos,F,Suécia,Tunísia,,,NAO,,
13,2026-06-15,19:00,grupos,H,Arábia Saudita,Uruguai,,,NAO,,
14,2026-06-15,13:00,grupos,H,Espanha,Cabo Verde,,,NAO,,
15,2026-06-15,22:00,grupos,G,Irã,Nova Zelândia,,,NAO,,
16,2026-06-15,16:00,grupos,G,Bélgica,Egito,,,NAO,,
17,2026-06-16,16:00,grupos,I,França,Senegal,,,NAO,,
18,2026-06-16,19:00,grupos,I,Iraque,Noruega,,,NAO,,
19,2026-06-16,22:00,grupos,J,Argentina,Argélia,,,NAO,,
20,2026-06-16,01:00,grupos,J,Áustria,Jordânia,,,NAO,,
21,2026-06-17,20:00,grupos,L,Gana,Panamá,,,NAO,,
22,2026-06-17,17:00,grupos,L,Inglaterra,Croácia,,,NAO,,
23,2026-06-17,14:00,grupos,K,Portugal,Congo DR,,,NAO,,
24,2026-06-17,23:00,grupos,K,Uzbequistão,Colômbia,,,NAO,,
25,2026-06-18,13:00,grupos,A,Tchéquia,África do Sul,,,NAO,,
26,2026-06-18,16:00,grupos,B,Suíça,Bósnia e Herzegovina,,,NAO,,
27,2026-06-18,19:00,grupos,B,Canadá,Catar,,,NAO,,
28,2026-06-18,22:00,grupos,A,México,Coreia do Sul,,,NAO,,
29,2026-06-19,21:30,grupos,C,Brasil,Haiti,,,NAO,,
30,2026-06-19,19:00,grupos,C,Escócia,Marrocos,,,NAO,,
31,2026-06-20,00:00,grupos,D,Turquia,Paraguai,,,NAO,,
32,2026-06-19,16:00,grupos,D,Estados Unidos,Austrália,,,NAO,,
33,2026-06-20,17:00,grupos,E,Alemanha,Costa do Marfim,,,NAO,,
34,2026-06-20,21:00,grupos,E,Equador,Curaçao,,,NAO,,
35,2026-06-20,14:00,grupos,F,Holanda,Suécia,,,NAO,,
36,2026-06-20,01:00,grupos,F,Tunísia,Japão,,,NAO,,
37,2026-06-21,19:00,grupos,H,Uruguai,Cabo Verde,,,NAO,,
38,2026-06-21,13:00,grupos,H,Espanha,Arábia Saudita,,,NAO,,
39,2026-06-21,16:00,grupos,G,Bélgica,Irã,,,NAO,,
40,2026-06-21,22:00,grupos,G,Nova Zelândia,Egito,,,NAO,,
41,2026-06-22,21:00,grupos,I,Noruega,Senegal,,,NAO,,
42,2026-06-22,18:00,grupos,I,França,Iraque,,,NAO,,
43,2026-06-22,14:00,grupos,J,Argentina,Áustria,,,NAO,,
44,2026-06-23,00:00,grupos,J,Jordânia,Argélia,,,NAO,,
45,2026-06-23,17:00,grupos,L,Inglaterra,Gana,,,NAO,,
46,2026-06-23,20:00,grupos,L,Panamá,Croácia,,,NAO,,
47,2026-06-23,14:00,grupos,K,Portugal,Uzbequistão,,,NAO,,
48,2026-06-23,23:00,grupos,K,Colômbia,Congo DR,,,NAO,,
49,2026-06-24,19:00,grupos,C,Escócia,Brasil,,,NAO,,
50,2026-06-24,19:00,grupos,C,Marrocos,Haiti,,,NAO,,
51,2026-06-24,16:00,grupos,B,Suíça,Canadá,,,NAO,,
52,2026-06-24,16:00,grupos,B,Bósnia e Herzegovina,Catar,,,NAO,,
53,2026-06-24,22:00,grupos,A,Tchéquia,México,,,NAO,,
54,2026-06-24,22:00,grupos,A,África do Sul,Coreia do Sul,,,NAO,,
55,2026-06-25,17:00,grupos,E,Curaçao,Costa do Marfim,,,NAO,,
56,2026-06-25,17:00,grupos,E,Equador,Alemanha,,,NAO,,
57,2026-06-25,20:00,grupos,F,Japão,Suécia,,,NAO,,
58,2026-06-25,20:00,grupos,F,Tunísia,Holanda,,,NAO,,
59,2026-06-25,23:00,grupos,D,Turquia,Estados Unidos,,,NAO,,
60,2026-06-25,23:00,grupos,D,Paraguai,Austrália,,,NAO,,
61,2026-06-26,16:00,grupos,I,Senegal,Iraque,,,NAO,,
62,2026-06-26,16:00,grupos,I,Noruega,França,,,NAO,,
63,2026-06-27,00:00,grupos,G,Egito,Irã,,,NAO,,
64,2026-06-27,00:00,grupos,G,Nova Zelândia,Bélgica,,,NAO,,
65,2026-06-26,21:00,grupos,H,Cabo Verde,Arábia Saudita,,,NAO,,
66,2026-06-26,21:00,grupos,H,Uruguai,Espanha,,,NAO,,
67,2026-06-27,18:00,grupos,L,Panamá,Inglaterra,,,NAO,,
68,2026-06-27,18:00,grupos,L,Croácia,Gana,,,NAO,,
69,2026-06-27,23:00,grupos,J,Argélia,Áustria,,,NAO,,
